,url,caption
0,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP6218.jpg,a painting of a man standing in front of a wall
1,http://data.ukiyo-e.org/honolulu/images/3397.jpg,a building that has a clock on it
2,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4784.jpg,a painting of a man standing next to a building
3,http://data.ukiyo-e.org/honolulu/images/5324.jpg,a group of people standing on top of a beach
4,http://data.ukiyo-e.org/honolulu/images/3934.jpg,a painting of a painting of a building with a painting on it
5,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-420.jpg,a black and white photo of a woman leading a horse
6,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-004.jpg,a picture of a building with a snow covered wall
7,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3088.jpg,a painting of a group of people holding umbrellas
8,http://data.ukiyo-e.org/honolulu/images/3874.jpg,a painting of a cow on the side of a wall
9,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-237.jpg,a black and white photo of people on a wall
10,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1676.jpg,a painting of a building with people walking around
11,http://data.ukiyo-e.org/honolulu/images/5255.jpg,a large group of people standing next to each other
12,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-413.jpg,a black and white photo of a building
13,http://data.ukiyo-e.org/honolulu/images/6317.jpg,a group of people walking down a street
14,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2490.jpg,a painting of a woman holding a kite
15,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000533/w0000000/w0000056.jpg,a couple of people standing next to a painting
16,http://data.ukiyo-e.org/honolulu/images/7973.jpg,a wall with a painting on the side of it
17,http://data.ukiyo-e.org/honolulu/images/4004.jpg,a group of people sitting on top of a wooden bench
18,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000015/w0000480/w0000001/w0000019.jpg,a painting of a painting on the wall of a wall
19,http://data.ukiyo-e.org/honolulu/images/3480.jpg,a view of a swimming pool with a sky background
20,http://data.ukiyo-e.org/honolulu/images/4287.jpg,a group of people standing in front of a painting
21,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3489.jpg,a painting of a man in front of a building
22,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0167/Z0167-013.jpg,a black and white photo of a group of people
23,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2570.jpg,a building with a mural on the side of it
24,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000010/w0000232/w0000000/w0000001.jpg,a painting of a man with a hat on
25,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-121.jpg,a black and white photo of a person on a snowboard
26,http://data.ukiyo-e.org/honolulu/images/4766.jpg,a painting of a painting of a man holding a kite
27,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2104.jpg,a painting of a person holding a stuffed animal
28,http://data.ukiyo-e.org/honolulu/images/4162.jpg,a painting of a bird on a wall next to a painting
29,http://data.ukiyo-e.org/honolulu/images/5475.jpg,a large body of water next to a body of water
30,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000010/w0000186/w0000000/w0000029.jpg,a painting on the wall of a building
31,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000530/w0000000/w0000001.jpg,a painting of a toaster on a wall
32,http://data.ukiyo-e.org/honolulu/images/7252.jpg,a couple of people sitting on top of a boat
33,http://data.ukiyo-e.org/honolulu/images/4432.jpg,a painting of a painting on a wall with a painting on it
34,https://data.ukiyo-e.org/bm/images/AN00535939_001_l.jpg,a group of people that are standing in front of a pool
35,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1165.jpg,a wall with a sign in front of it
36,http://data.ukiyo-e.org/honolulu/images/7415.jpg,a group of people standing in front of a building
37,http://data.ukiyo-e.org/honolulu/images/8097.jpg,a group of women standing next to each other
38,http://data.ukiyo-e.org/honolulu/images/5941.jpg,a painting of a man holding a frisbee
39,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000015/w0000480/w0000002/w0000004.jpg,a wall of graffiti on a wall
40,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2428.jpg,a wall with a painting painted on it
41,http://data.ukiyo-e.org/honolulu/images/2944.jpg,a painting of a mural on the side of a wall
42,http://data.ukiyo-e.org/honolulu/images/4082.jpg,a painting of a bird sitting on a wall
43,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1167.jpg,a sign on the side of a wall with graffiti on it
44,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP6294.jpg,a building with a mural on the side of it
45,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000010/w0000222/w0000000/w0000092.jpg,a wall with a painting on the wall
46,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP0927.jpg,a group of people standing next to each other
